hand_id,bankroll_bb
256677613808,0.0000
256677622483,0.0000
256677627084,0.0000
256677636377,0.0000
256677639903,0.0000
256677645068,0.0000
256677649166,0.0000
256677652610,0.0000
256677655247,0.0000
256677668234,0.0000
256677671886,0.0000
256677678709,0.0000
256677682534,0.0000
256677694765,0.0000
256677697052,0.0000
256677702120,0.0000
256677704537,0.0000
256677708488,0.0000
256677712499,0.0000
256677715073,0.0000
256677719435,0.0000
256672130395,0.0000
256672131831,0.0000
256672132622,0.0000
256672134730,0.0000
256672135341,0.0000
256672138425,0.0000
256672141635,0.0000
256672145140,0.0000
256672148094,0.0000
256672149599,0.0000
256672152013,0.0000
256672154103,0.0000
256672157374,0.0000
256672158685,0.0000
256672159750,0.0000
256672162280,0.0000
256681702793,0.0000
256681712714,0.0000
256681723298,0.0000
256681731755,0.0000
256681737116,0.0000
256681739822,0.0000
256681747924,0.0000
256681751742,0.0000
256681758354,0.0000
256681765992,0.0000
256681771348,0.0000
256681776689,0.0000
256681779020,0.0000
256681781661,0.0000
256681788959,0.0000
256681794644,0.0000
256681804506,0.0000
256681816828,0.0000
256681824886,0.0000
256681834759,0.0000
256681841357,0.0000
256681845956,0.0000
256681851960,0.0000
256681862921,0.0000
256681872591,0.0000
256681879227,0.0000
256681984189,0.0000
256681989350,0.0000
256681995402,0.0000
256681999866,0.0000
256682006685,0.0000
256682009843,0.0000
256682016185,0.0000
256682026151,0.0000
256682034061,0.0000
256682037881,0.0000
256682041685,0.0000
256682043875,0.0000
256682046522,0.0000
256682049241,0.0000
256682058027,0.0000
256682059239,0.0000
256682060265,0.0000
256682062626,0.0000
256682065936,0.0000
256682071927,0.0000
256682077164,0.0000
256682088686,0.0000
256682097817,0.0000
256682109224,0.0000
256682114274,0.0000
256682119436,0.0000
256682121388,0.0000
256682129298,0.0000
256682131986,0.0000
256682133621,0.0000
256675261653,0.0000
256675263226,0.0000
256675272890,0.0000
256675276568,0.0000
256675294250,0.0000
256675296386,0.0000
256675298890,0.0000
256675301684,0.0000
256675309650,0.0000
256675312800,0.0000
256675319997,0.0000
256675337374,0.0000
256675345679,0.0000
256675354944,0.0000
256675358751,0.0000
256675366604,0.0000
256675373533,0.0000
256675381525,0.0000
256675389078,0.0000
256675391283,0.0000
256675399216,0.0000
256675403314,0.0000
256675406627,0.0000
256675410687,0.0000
256675412734,0.0000
256675418471,0.0000
256675516941,0.0000
